Name of Dish,Ingredient 1 (Vegetable),Ingredient 2 (Vegetable),Ingredient 3 (Vegetable),Ingredient 4 (Vegetable),"Ingredient 5 (Grains, pulses and flour )",Ingredient 6 (Spices),Ingredient 7 (Spices),Ingredient 8 (Spices),Ingredient 9 (Spices),Ingredient 10 (Breads),Ingredient 11 (Milk products),Cuisine,Calories
Aloo matar paneer,Potato,Tomato,Onion,Peas,Moong dal,Red Chilli,Turmeric,Asafoetida,Garam Masala,White Bread,Butter,Indian,276
Aloo paratha,Potato,Beans,Carrot,None,Whole wheat flour(Atta),Garam Masala,Paprika,None,None,None,Butter,Punjabi,330
Arrabbiata sauce Pasta,Tomato,Garlic,Mushrooms,Olives,White flour(Maida),Red Chilli,Black Pepper,Oregano,None,None,Cheese,Italian,311
Baked Falafel,Cilantro(Coriander leaves),Onion,Garlic,Lemon juice,Chickpeas(Chhole),Black Pepper,Cumin,Coriander seeds,Parsley,Pita Bread,None,Middle Eastern,354
Biryani,Potato,Peas,Onion,Tomato,Rice,Red Chilli,Turmeric,Coriander seeds,Saffron,None,Ghee,Hyderabadi,241
Brinjal ,Brinjal,Garlic,Pickles,Green chilli,Masoor dal,Black Pepper,Cinnamon,Nutmeg,Turmeric,White Bread,Ghee,Indian,65
Burger,Potato,Tomato,Cabbage,Jalapenos,None,Red Chilli,Black Pepper,Oregano,None,Pita Bread,Cheese,Continental,295
Carrot capsicum veggie,Carrot,Onion,Capsicum,Garlic,Whole wheat flour(Atta),Turmeric,Cumin,Cinnamon,Turmeric,Whole Wheat Bread,Ghee,Indian,298
Cholle Bhatura,Tomato,Onion,Ginger,Garlic,Chickpeas(Chhole),Red Chilli,Garam Masala,Fennel seeds,Bay leaves,Pita Bread,Ghee,Punjabi,427
Chane ki sabji,Coriander,Capsicum,Green chilli,Lemon juice,Gram(Chana),Cumin,Red Chilli,Turmeric,Garam Masala,None,Ghee,Indian,144
Cheese Pizza,Tomato,Onion,Olives,Capsicum,White flour(Maida),Oregano,Red Chilli,Black Pepper,None,None,Cheese,Continental,1300
Cheesy crispy potato balls,Potato,Baby corn,Ginger,Garlic,White flour(Maida),Black Pepper,Oregano,Garam Masala,None,White Bread,Cheese,Continental,332
chole sandwich,Tomato,Carrot,Capsicum,Beetroot,Chickpeas(Chhole),Black Pepper,Cumin,Asafoetida,Oregano,Baguette,Cheese,Indian,179
Cholle,Onion,Garlic,None,None,Chickpeas(Chhole),Garam Masala,Turmeric,Red Chilli,None,None,None,Punjabi,223
Curry rice,Drumsticks,Curry leaves,Cauliflower,Ladyfinger(Okra),Rice,Red Chilli,Cumin,Asafoetida,Mustard,None,None,South Indian,153
Dal Khichadi,Tomato,Onion,Capsicum,Green chilli,Toor dal,Red Chilli,Turmeric,Black Pepper,Cardamom,None,None,Indian,320
Dal Makhani,Tomato,Coriander,Onion,Garlic,Toor dal,Red Chilli,Turmeric,Cumin,Garam Masala,None,Butter,Punjabi,278
Dum aloo,Potato,Tomato,Coriander,Lemon juice,None,Red Chilli,Black Pepper,Turmeric,Garam Masala,None,None,Kashmiri,269
Farmhouse Pizza ,Capsicum,Tomato,Olives,Sweet corn,White flour(Maida),Black Pepper,Red Chilli,Cinnamon,Oregano,White Bread,Cheese,Continental,870
Fried Beans&Potato,Carrot,Potato,Tomato,Beans,None,Cardamom,Asafoetida,Cumin,Black Pepper,None,None,Andhra,214
Grilled cheese sandwich,Capsicum,Potato,Tomato,Beetroot,None,Black Pepper,None,None,None,White Bread,Cheese,American,464
Gulabjamun,None,None,None,None,White flour(Maida),Cardamom,None,None,None,None,Milk,Punjabi,260
Hash browns,Potato,Onion,Garlic,Coriander,White flour(Maida),Red Chilli,Black Pepper,None,None,None,Cheese,American,238
Sambhar,Drumsticks,Bottle Gourd,Pumpkin,Onion,Toor dal,Red Chilli,Cumin,Asafoetida,Coriander seeds,None,None,South Indian,273
Manchow Soup,Capsicum,Cabbage,Carrot,Sweet corn,None,None,None,None,Black Pepper,None,None,Indo Chinese,87
Manchurian ,Cabbage,Capsicum,Onion,Ginger,None,Red Chilli,Black Pepper,None,None,None,None,Chinese,183
Masala dosa,Potato,Curry leaves,Onion,Capsicum,Rice,Garam Masala,Mustard,Turmeric,Red Chilli,None,None,South Indian,539
Matar paneer,Peas,Onion,Tomato,Garlic,None,Garam Masala,Turmeric,Red Chilli,Fenugreek seeds,None,Paneer(Cottage cheese),North Indian,143.7
Methi jhunka bhakari,Fenugreek,Garlic,Coriander,Onion,Gram(Chana),Cumin,Asafoetida,Mustard,Turmeric,None,None,Maharashtrian,252
Misal Pav,Onion,Tomato,Garlic,Coriander,Moong dal,Red Chilli,Turmeric,Garam Masala,Poppy seeds,Bun,None,Maharashtrian,289
Mushroom,Mushrooms,Onion,Garlic,Green chilli,None,Red Chilli,Turmeric,Garam Masala,Bay leaves,None,None,Indian,43
Noodles,Capsicum,Carrot,Cabbage,Onion,White flour(Maida),Black Pepper,Red Chilli,Oregano,None,None,Butter,Chinese,338
Palak Paneer,Spinach,Tomato,Onion,Ginger,Gram flour(Besan),Red Chilli,Nutmeg,Coriander seeds,Cloves,None,Paneer(Cottage cheese),Punjabi,470
Paneer Butter Masala,Tomato,Onion,Ginger,Capsicum,None,Turmeric,Garam Masala,Saffron,Red Chilli,None,Paneer(Cottage cheese),Hyderabadi,229
Paneer chilli,Capsicum,Onion,Green chilli,Garlic,None,Black Pepper,Paprika,Oregano,None,None,Paneer(Cottage cheese),Indo Chinese,316
Paneer makhani,Tomato,Coriander,None,None,None,Red Chilli,Cardamom,Cinnamon,Bay leaves,Whole Wheat Bread,Paneer(Cottage cheese),Punjabi,456
Paneer Palak Kabab,Spinach,Potato,Garlic,Onion,None,Turmeric,Red Chilli,Cumin,Garam Masala,None,Paneer(Cottage cheese),Indian,654
Paneer Tikka ,Onion,Capsicum,Tomato,None,None,Red Chilli,Garam Masala,Turmeric,Cumin,None,Paneer(Cottage cheese),Punjabi,279
Pani puri,Coriander,Mint,Potato,None,White flour(Maida),Red Chilli,Black Pepper,Garam Masala,None,None,None,Indian,188
Pav bhaji,Potato,Capsicum,Tomato,Cauliflower,None,Mustard,Turmeric,Cinnamon,Cardamom,Bun,None,Indian,400
Pink sauce Pasta,Capsicum,Onion,Jalapenos,Olives,White flour(Maida),Black Pepper,Oregano,Red Chilli,None,Pita Bread,None,Italian,358
Pizza with Paneer,Capsicum,Jalapenos,Pickles,Olives,White flour(Maida),Mustard,Black Pepper,Red Chilli,Cinnamon,Pita Bread,Paneer(Cottage cheese),Continental,842
Pizza with Mushrooms,Capsicum,Jalapenos,Olives,Mushrooms,White flour(Maida),Oregano,Paprika,Red Chilli,None,None,Cheese,Continental,884
Baby Corn Pizza,Capsicum,Onion,Tomato,Baby corn,None,Red Chilli,Black Pepper,Oregano,None,Pita Bread,Cheese,Continental,1024
Sweet Corn Pizza,Olives,Tomato,Onion,Sweet corn,None,Red Chilli,Black Pepper,Oregano,Garam Masala,None,Cheese,Continental,1078
Poha,Coriander,Onion,Curry leaves,Green chilli,Rice,Mustard,Turmeric,Cumin,None,None,None,Maharashtrian,180
Potato Poha,Potato,Onion,Peas,Curry leaves,Rice,Garam Masala,None,None,None,None,None,Maharashtrian,229
Pulav,Sweet corn,Onion,Garlic,None,Rice,Cinnamon,Bay leaves,Cloves,Garam Masala,None,Milk,Indian,231
Rajma Chawal,Kidney beans(Rajma),Onion,Tomato,Green chilli,Rice,Bay leaves,Cumin,Asafoetida,Garam Masala,None,Ghee,North Indian,261
Ratatouille,Zucchini,Brinjal,Tomato,Capsicum,None,Black Pepper,Garlic Cloves,Onion,Parsley,None,None,French,80
Sandga,Onion,None,None,None,Moong dal,Garam Masala,Cinnamon,Cumin,Asafoetida,None,None,Maharashtrian,235
Schezwan Fried Rice,Capsicum,Carrot,Garlic,Cabbage,Rice,Red Chilli,Black Pepper,None,None,None,None,Indo Chinese,327
Sindhi mix vegetable,Cauliflower,Tomato,Potato,Carrot,None,Cumin,Red Chilli,Cinnamon,Turmeric,None,None,Sindhi,167
Smash,Tomato,Potato,Garlic,Onion,None,Black Pepper,Red Chilli,Garam Masala,None,None,None,British,97
Spaghetti,Tomato,Garlic,Onion,Mushrooms,White flour(Maida),Black Pepper,Oregano,Bay leaves,None,None,None,Italian,173
Spinach masala,Spinach,Onion,Capsicum,Sweet corn,Gram flour(Besan),Turmeric,Red Chilli,None,None,None,Ghee,Indian,137
Stuffed brinjal.,Brinjal,Onion,Garlic,Beans,Gram(Chana),Red Chilli,Garam Masala,Cumin,Turmeric,None,None,Indian,127
Stuffed karela,Bitter Gourd,Onion,Coriander,Jalapenos,None,Turmeric,Fennel seeds,Cumin,Red Chilli,Whole Wheat Bread,Curd,Punjabi,152
Sweetcorn Salad ,Sweet corn,Cucumber,Tomato,Onion,None,Oregano,Red Chilli,Black Pepper,None,None,Paneer(Cottage cheese),American,127
Eggless Tomato Omlette,Tomato,Onion,Fenugreek,None,Urad dal,Red Chilli,Black Pepper,None,None,None,None,Indian,143
Paneer biryani,Onion,Cauliflower,Capsicum,Carrot,Rice,Red Chilli,Garam Masala,Cumin,Cinnamon,White Bread,Paneer(Cottage cheese),Hyderabadi,300
Veg Beetroot Sandwich,Tomato,Capsicum,Beetroot,Onion,None,Black Pepper,Oregano,None,None,White Bread,Butter,Indian,338
