Name of Dish,Ingredient 1 (Vegetable),Ingredient 2 (Vegetable),Ingredient 3 (Vegetable),Ingredient 4 (Vegetable),"Ingredient 5 (Grains, pulses and flour )",Ingredient 6 (Spices),Ingredient 7 (Spices),Ingredient 8 (Spices),Ingredient 9 (Spices),Ingredient 10 (Breads),Ingredient 11 (Milk products)
Aloo matar paneer,Potato,Tomato,Onion,Peas,Moong dal,Red Chilli,Turmeric,Asafoetida,Garam Masala,White Bread,Butter
Aloo paratha,Potato,Beans,Carrot,None,Whole wheat flour(Atta),Garam Masala,Paprika,None,None,None,Butter
Arrabbiata sauce Pasta,Tomato,Garlic,Mushrooms,Olives,White flour(Maida),Red Chilli,Black Pepper,Oregano,None,None,Cheese
Baked Falafel,Cilantro(Coriander leaves),Onion,Garlic,Lemon juice,Chickpeas(Chhole),Black Pepper,Cumin,Coriander seeds,Parsley,Pita Bread,None
Biryani,Potato,Peas,Onion,Tomato,Rice,Red Chilli,Turmeric,Coriander seeds,Saffron,None,Ghee
Brinjal ,Brinjal,Garlic,Pickles,Green chilli,Masoor dal,Black Pepper,Cinnamon,Nutmeg,Turmeric,White Bread,Ghee
Burger,Potato,Tomato,Cabbage,Jalapenos,None,Red Chilli,Black Pepper,Oregano,None,Pita Bread,Cheese
Carrot capsicum veggie,Carrot,Onion,Capsicum,Garlic,Whole wheat flour(Atta),Turmeric,Cumin,Cinnamon,Turmeric,Whole Wheat Bread,Ghee
Cholle Bhatura,Tomato,Onion,Ginger,Garlic,Chickpeas(Chhole),Red Chilli,Garam Masala,Fennel seeds,Bay leaves,Pita Bread,Ghee
Chane ki sabji,Coriander,Capsicum,Green chilli,Lemon juice,Gram(Chana),Cumin,Red Chilli,Turmeric,Garam Masala,None,Ghee
Cheese Pizza,Tomato,Onion,Olives,Capsicum,White flour(Maida),Oregano,Red Chilli,Black Pepper,None,None,Cheese
Cheesy crispy potato balls,Potato,Baby corn,Ginger,Garlic,White flour(Maida),Black Pepper,Oregano,Garam Masala,None,White Bread,Cheese
chole sandwich,Tomato,Carrot,Capsicum,Beetroot,Chickpeas(Chhole),Black Pepper,Cumin,Asafoetida,Oregano,Baguette,Cheese
Cholle,Onion,Garlic,None,None,Chickpeas(Chhole),Garam Masala,Turmeric,Red Chilli,None,None,None
Curry rice,Drumsticks,Curry leaves,Cauliflower,Ladyfinger(Okra),Rice,Red Chilli,Cumin,Asafoetida,Mustard,None,None
Dal Khichadi,Tomato,Onion,Capsicum,Green chilli,Toor dal,Red Chilli,Turmeric,Black Pepper,Cardamom,None,None
Dal Makhani,Tomato,Coriander,Onion,Garlic,Toor dal,Red Chilli,Turmeric,Cumin,Garam Masala,None,Butter
Dum aloo,Potato,Tomato,Coriander,Lemon juice,None,Red Chilli,Black Pepper,Turmeric,Garam Masala,None,None
Farmhouse Pizza ,Capsicum,Tomato,Olives,Sweet corn,White flour(Maida),Black Pepper,Red Chilli,Cinnamon,Oregano,White Bread,Cheese
Fried Beans&Potato,Carrot,Potato,Tomato,Beans,None,Cardamom,Asafoetida,Cumin,Black Pepper,None,None
Grilled cheese sandwich,Capsicum,Potato,Tomato,Beetroot,None,Black Pepper,None,None,None,White Bread,Cheese
Gulabjamun,None,None,None,None,White flour(Maida),Cardamom,None,None,None,None,Milk
Hash browns,Potato,Onion,Garlic,Coriander,White flour(Maida),Red Chilli,Black Pepper,None,None,None,Cheese
Sambhar,Drumsticks,Bottle Gourd,Pumpkin,Onion,Toor dal,Red Chilli,Cumin,Asafoetida,Coriander seeds,None,None
Manchow Soup,Capsicum,Cabbage,Carrot,Sweet corn,None,None,None,None,Black Pepper,None,None
Manchurian ,Cabbage,Capsicum,Onion,Ginger,None,Red Chilli,Black Pepper,None,None,None,None
Masala dosa,Potato,Curry leaves,Onion,Capsicum,Rice,Garam Masala,Mustard,Turmeric,Red Chilli,None,None
Matar paneer,Peas,Onion,Tomato,Garlic,None,Garam Masala,Turmeric,Red Chilli,Fenugreek seeds,None,Paneer(Cottage cheese)
Methi jhunka bhakari,Fenugreek,Garlic,Coriander,Onion,Gram(Chana),Cumin,Asafoetida,Mustard,Turmeric,None,None
Misal Pav,Onion,Tomato,Garlic,Coriander,Moong dal,Red Chilli,Turmeric,Garam Masala,Poppy seeds,Bun,None
Mushroom,Mushrooms,Onion,Garlic,Green chilli,None,Red Chilli,Turmeric,Garam Masala,Bay leaves,None,None
Noodles,Capsicum,Carrot,Cabbage,Onion,White flour(Maida),Black Pepper,Red Chilli,Oregano,None,None,Butter
Palak Paneer,Spinach,Tomato,Onion,Ginger,Gram flour(Besan),Red Chilli,Nutmeg,Coriander seeds,Cloves,None,Paneer(Cottage cheese)
Paneer Butter Masala,Tomato,Onion,Ginger,Capsicum,None,Turmeric,Garam Masala,Saffron,Red Chilli,None,Paneer(Cottage cheese)
Paneer chilli,Capsicum,Onion,Green chilli,Garlic,None,Black Pepper,Paprika,Oregano,None,None,Paneer(Cottage cheese)
Paneer makhani,Tomato,Coriander,None,None,None,Red Chilli,Cardamom,Cinnamon,Bay leaves,Whole Wheat Bread,Paneer(Cottage cheese)
Paneer Palak Kabab,Spinach,Potato,Garlic,Onion,None,Turmeric,Red Chilli,Cumin,Garam Masala,None,Paneer(Cottage cheese)
Paneer Tikka ,Onion,Capsicum,Tomato,None,None,Red Chilli,Garam Masala,Turmeric,Cumin,None,Paneer(Cottage cheese)
Pani puri,Coriander,Mint,Potato,None,White flour(Maida),Red Chilli,Black Pepper,Garam Masala,None,None,None
Pav bhaji,Potato,Capsicum,Tomato,Cauliflower,None,Mustard,Turmeric,Cinnamon,Cardamom,Bun,None
Pink sauce Pasta,Capsicum,Onion,Jalapenos,Olives,White flour(Maida),Black Pepper,Oregano,Red Chilli,None,Pita Bread,None
Pizza with Paneer,Capsicum,Jalapenos,Pickles,Olives,White flour(Maida),Mustard,Black Pepper,Red Chilli,Cinnamon,Pita Bread,Paneer(Cottage cheese)
Pizza with Mushrooms,Capsicum,Jalapenos,Olives,Mushrooms,White flour(Maida),Oregano,Paprika,Red Chilli,None,None,Cheese
Baby Corn Pizza,Capsicum,Onion,Tomato,Baby corn,None,Red Chilli,Black Pepper,Oregano,None,Pita Bread,Cheese
Sweet Corn Pizza,Olives,Tomato,Onion,Sweet corn,None,Red Chilli,Black Pepper,Oregano,Garam Masala,None,Cheese
Poha,Coriander,Onion,Curry leaves,Green chilli,Rice,Mustard,Turmeric,Cumin,None,None,None
Potato Poha,Potato,Onion,Peas,Curry leaves,Rice,Garam Masala,None,None,None,None,None
Pulav,Sweet corn,Onion,Garlic,None,Rice,Cinnamon,Bay leaves,Cloves,Garam Masala,None,Milk
Rajma Chawal,Kidney beans(Rajma),Onion,Tomato,Green chilli,Rice,Bay leaves,Cumin,Asafoetida,Garam Masala,None,Ghee
Ratatouille,Zucchini,Brinjal,Tomato,Capsicum,None,Black Pepper,Garlic Cloves,Onion,Parsley,None,None
Sandga,Onion,None,None,None,Moong dal,Garam Masala,Cinnamon,Cumin,Asafoetida,None,None
Schezwan Fried Rice,Capsicum,Carrot,Garlic,Cabbage,Rice,Red Chilli,Black Pepper,None,None,None,None
Sindhi mix vegetable,Cauliflower,Tomato,Potato,Carrot,None,Cumin,Red Chilli,Cinnamon,Turmeric,None,None
Smash,Tomato,Potato,Garlic,Onion,None,Black Pepper,Red Chilli,Garam Masala,None,None,None
Spaghetti,Tomato,Garlic,Onion,Mushrooms,White flour(Maida),Black Pepper,Oregano,Bay leaves,None,None,None
Spinach masala,Spinach,Onion,Capsicum,Sweet corn,Gram flour(Besan),Turmeric,Red Chilli,None,None,None,Ghee
Stuffed brinjal.,Brinjal,Onion,Garlic,Beans,Gram(Chana),Red Chilli,Garam Masala,Cumin,Turmeric,None,None
Stuffed karela,Bitter Gourd,Onion,Coriander,Jalapenos,None,Turmeric,Fennel seeds,Cumin,Red Chilli,Whole Wheat Bread,Curd
Sweetcorn Salad ,Sweet corn,Cucumber,Tomato,Onion,None,Oregano,Red Chilli,Black Pepper,None,None,Paneer(Cottage cheese)
Eggless Tomato Omlette,Tomato,Onion,Fenugreek,None,Urad dal,Red Chilli,Black Pepper,None,None,None,None
Paneer biryani,Onion,Cauliflower,Capsicum,Carrot,Rice,Red Chilli,Garam Masala,Cumin,Cinnamon,White Bread,Paneer(Cottage cheese)
Veg Beetroot Sandwich,Tomato,Capsicum,Beetroot,Onion,None,Black Pepper,Oregano,None,None,White Bread,Butter
Vegetable Fried Rice,Onion,Carrot,Cabbage,Garlic,Rice,Black Pepper,Cloves,Garam Masala,Turmeric,None,None
Vegetable Corn Sandwich,Potato,Tomato,Cabbage,Sweet corn,None,Red Chilli,Black Pepper,None,Cumin,White Bread,Butter
Vegetable Curd Sandwich,Cucumber,Onion,Capsicum,Capsicum,None,Black Pepper,Oregano,None,None,White Bread,Curd
Vinegret (Russian Salad),Beetroot,Potato,Carrot,Pickles,None,None,None,None,None,None,None
White sauce pasta,Capsicum,Garlic,Sweet corn,Onion,White flour(Maida),Black Pepper,Oregano,Paprika,None,None,Milk
Medu Vada,Onion,Ginger,Curry leaves,None,Gram flour(Besan),Black Pepper,Red Chilli,Fennel seeds,None,None,None
Italian Potato Salad,Potato,Onion,None,None,None,Parsley,Oregano,Black Pepper,None,None,Cheese
Garlic Bread,Garlic,None,None,None,None,Parsley,None,None,None,Baguette,Butter
Spring Green Risotto,Spinach,Peas,Onion,Mushrooms,Rice,Garlic Cloves,None,None,None,None,Cheese
Marinated Tomatoes,Tomato,Onion,None,None,None,Garlic Cloves,Black Pepper,Parsley,Basil,None,None
Italian Cheese Loaf,Tomato,Olives,None,None,None,Oregano,Basil,None,None,Baguette,Cheese
Italian Zucchini Casserole,Zucchini,Tomato,Onion,None,None,Black Pepper,Oregano,Garlic Cloves,Basil,None,Cheese
Texas-Style Spanish Rice,Onion,Tomato,Green chilli,Garlic,Rice,Turmeric,Cumin,None,None,None,None
German Cucumber Salad,Cucumber,Tomato,Onion,None,None,Mustard,Black Pepper,Parsley,None,None,Sour cream
Spinach Quesadillas,Spinach,Onion,Tomato,Garlic,White flour(Maida),Cumin,None,None,None,None,Cheese
Pumpkin Stir Fry Sabzi,Pumpkin,Fenugreek,Coriander,None,None,Cumin,Red Chilli,Mustard,Turmeric,None,Ghee
Tomato Soup,Tomato,Onion,Celery,None,None,Black Pepper,Oregano,Basil,None,None,None
Garlic Parmesan Grilled Eggplant (Brinjal),Brinjal,Garlic,None,None,None,Black Pepper,Oregano,None,None,None,Cheese
Sauteed green beans,Beans,Onion,Garlic,None,None,Parsley,Black Pepper,None,None,None,Butter
Roasted Garlic Butter Mushrooms ,Mushrooms,Garlic,None,None,None,Basil,Parsley,None,None,None,Butter
Cilantro Lime Rice,Cilantro(Coriander leaves),Garlic,Onion,Lemon juice,Rice,None,None,None,None,None,Butter
Aloo Beans Sabzi,Beans,Potato,Coriander,None,None,Turmeric,Asafoetida,Garam Masala,Cumin,None,None
Crispy Baked Parmesan Garlic Fries,Garlic,Potato,None,None,None,Parsley,Black Pepper,None,None,None,Cheese
Raita,Cucumber,Mint,Onion,None,None,Black Pepper,Cumin,None,None,None,Curd
Sindhi Koki,Green chilli,Coriander,Onion,None,Whole wheat flour(Atta),Coriander seeds,Cumin,None,None,None,None
Chilli Cheese Toast,Green chilli,Ginger,None,None,None,Black Pepper,None,None,None,Whole Wheat Bread,Cheese
Masoor Dal,Tomato,Green chilli,None,None,Masoor dal,Cumin,Asafoetida,Red Chilli,Turmeric,None,Ghee
Brinjal Chutney,Brinjal,Coriander,Tomato,Ginger,None,Garlic Cloves,Red Chilli,Onion,None,None,None
Vegetable Borscht Soup,Beetroot,Potato,Celery,Kidney beans(Rajma),None,Garlic Cloves,Onion,Parsley,Basil,None,None
Split Peas Soup,Peas,Onion,Celery,Carrot,None,None,None,None,None,None,None
